from,to,ref,value,quality,parameter_id,station_id,date
1705298401000.0,1705384800000.0,2024-01-15,0.6,G,5,82230,
1705384801000.0,1705471200000.0,2024-01-16,3.3,G,5,82230,
1705471201000.0,1705557600000.0,2024-01-17,2.3,G,5,82230,
1705557601000.0,1705644000000.0,2024-01-18,0.0,G,5,82230,
1705644001000.0,1705730400000.0,2024-01-19,1.2,G,5,82230,
1705730401000.0,1705816800000.0,2024-01-20,3.2,G,5,82230,
1705816801000.0,1705903200000.0,2024-01-21,3.1,G,5,82230,
1705903201000.0,1705989600000.0,2024-01-22,23.6,G,5,82230,
1705989601000.0,1706076000000.0,2024-01-23,10.4,G,5,82230,
1706076001000.0,1706162400000.0,2024-01-24,0.0,G,5,82230,
1706162401000.0,1706248800000.0,2024-01-25,0.0,G,5,82230,
1706248801000.0,1706335200000.0,2024-01-26,8.3,G,5,82230,
1706335201000.0,1706421600000.0,2024-01-27,0.0,G,5,82230,
1706421601000.0,1706508000000.0,2024-01-28,0.0,G,5,82230,
1706508001000.0,1706594400000.0,2024-01-29,0.0,G,5,82230,
1706594401000.0,1706680800000.0,2024-01-30,4.5,G,5,82230,
1706680801000.0,1706767200000.0,2024-01-31,6.9,G,5,82230,
1706767201000.0,1706853600000.0,2024-02-01,0.0,G,5,82230,
1706853601000.0,1706940000000.0,2024-02-02,5.3,G,5,82230,
1706940001000.0,1707026400000.0,2024-02-03,0.0,G,5,82230,
1707026401000.0,1707112800000.0,2024-02-04,0.0,G,5,82230,
1707112801000.0,1707199200000.0,2024-02-05,0.0,G,5,82230,
1707199201000.0,1707285600000.0,2024-02-06,5.8,G,5,82230,
1707285601000.0,1707372000000.0,2024-02-07,0.7,G,5,82230,
1707372001000.0,1707458400000.0,2024-02-08,0.8,G,5,82230,
1707458401000.0,1707544800000.0,2024-02-09,0.0,G,5,82230,
1707544801000.0,1707631200000.0,2024-02-10,0.0,G,5,82230,
1707631201000.0,1707717600000.0,2024-02-11,0.0,G,5,82230,
