station_id,name,longitude,latitude,height
93710,Mölnbacka,13.5666,59.6333,75.0
72390,Mölndal,12.0368,57.6595,61.0
76020,Mönsterås D,16.5029,57.0269,3.328
73410,Mörkö,13.7084,57.6881,345.0
126160,Naggen,15.9986,62.279,435.0
170940,Nattavaara-Vårsjö,20.581,66.7791,410.0
169010,Nausta,19.3,66.3666,470.0
169960,Nautijaur,19.2446,66.9044,355.0
97670,Neder-Hassla,17.5299,59.6496,15.0
123570,Nedgården,13.2534,62.9365,780.0
116360,Nianfors,16.7685,61.6013,174.0
116740,Niannoret,16.6,61.6,170.0
181770,Nilivaara,21.6072,67.226,320.0
74540,Nobynäs D,14.7952,57.9106,177.639
72660,Nol,12.0666,57.9166,10.0
107060,Nolmyra,17.1166,60.1,38.0
128500,Nora-Östanö D,18.1861,62.8487,48.297
105060,Norberg,15.9082,60.0651,135.379
139440,Nordanbäck D,19.291,63.7413,185.0
157020,Nordanås,17.7333,65.6333,480.0
156840,Nordanås,16.0867,65.462,403.453
92710,Noreborg,12.3333,59.7666,110.0
64110,Norjeby,14.6666,56.1166,5.0
113260,Nornäs D,13.2262,61.4301,461.835
168820,Norra Bergnäs,18.2333,66.3833,440.0
66380,Norra Möckleby D,16.6673,56.6331,10.725
64080,Norra Ströö,14.0028,56.1045,13.239
75540,Norra Vi D,15.3257,57.8828,231.232
102710,Norra Viggen,12.7166,60.4833,420.0
108040,Norrby,18.7385,60.0618,19.643
148550,Norrby,18.2404,64.9238,325.0
87530,Norrby Säteri,17.1932,58.8907,30.0
147430,Norrbäck,17.7154,64.7112,440.0
138470,Norrfors,18.9927,63.7705,118.0
140600,Norrfors kraftverk,20.0293,63.8659,60.0
107560,Norrsundet,17.1561,60.9297,5.0
98450,Norrtälje 1,18.7167,59.7667,10.0
98500,Norrveda,18.949,59.8294,23.253
97140,Norsborg 1,17.7834,59.2401,15.0
96180,Notholmen,16.0053,59.2948,24.0
82600,Nunntorp,12.3142,58.533,63.0
75230,Nyabyberg,15.2737,57.3911,220.0
74520,Nyarp,14.4639,57.9833,240.0
95440,Nyberget,14.9925,59.7468,200.0
98130,Nyboda,18.2306,59.2389,45.0
65440,Nybro-Slättingebygd D,15.9885,56.8503,92.842
97310,Nybyholm,17.038,59.5296,5.0
104180,Nyhammar,14.9784,60.2911,183.857
105190,Nyhyttan D,15.5566,60.3217,218.0
147630,Nyland,17.3333,64.4833,460.0
146530,Nyluspen,16.7489,64.8788,415.0
139620,Nyåker,19.3461,63.7992,70.0
98110,Nämdö,18.7318,59.1961,6.609
136600,Näsbrännan,16.9798,63.216,90.0
96110,Näshulta,16.2765,59.1946,45.492
